measured_on,ac_current__758,ac_meter_1_power_kw__1017,ac_meter_2_power_kw__1018,ac_power_1__767,ac_power_2__768,ac_power__752,ac_power_metered_1_2__1133,ac_power_metered_kw__1016,ac_volts__757,ambient_temp__1222,ambient_temp__759,biased_3_10_leakage_na__1236,biased_3_11_leakage_na__1237,biased_3_12_leakage_na__1238,biased_3_13_leakage_na__1239,biased_3_16_leakage_na__1242,biased_3_3b_leakage_na__5161,biased_3_4b_leakage_na__5162,biased_module_3_10_mv__1209,biased_module_3_11_mv__1210,biased_module_3_12_mv__1211,biased_module_3_13_mv__1212,biased_module_3_14_mv__1213,biased_module_3_15_mv__1214,biased_module_3_16_mv__1215,biased_module_3_4_mv__1203,biased_module_3_5_mv__1204,biased_module_3_6_mv__1205,biased_module_3_7_mv__1206,biased_module_3_8_mv__1207,biased_module_3_9_mv__1208,biased_module_voltage__1202,biased_module_voltage__1226,control_module_temp__1218,das_battery_voltage__769,das_temperature__764,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__1132,dc_power__751,gh_irradiance__1217,hviv_load_temp_1__1191,hviv_load_temp_2__1192,hviv_load_temp_3__1193,inv1_ac_power_kw__1019,inv1_dc_current__1021,inv1_dc_power__1130,inv1_dc_voltage__1020,inv1_temp__1022,inv2_ac_power_kw__1023,inv2_dc_current__1025,inv2_dc_power__1131,inv2_dc_voltage__1024,inv2_temp__1026,inverter_temp_2__770,inveter_temp__763,irradiance_average__1224,irradiance_stability__1225,mod10_coulombs__1252,mod11_coulombs__1253,mod12_coulombs__1254,mod1_coulombs__1243,mod2_coulombs__1244,mod3b_coulombs__5164,mod4b_coulombs__5165,mod5b_coulombs__5166,module_temp_1__760,module_temp_2__761,module_temp_3__762,module_temp_5_1__4821,poa_irradiance__750,precipitation__4822,relative_humidity__1223,unbiased_3_1_leakage_na__1227,unbiased_3_2_leakage_na__1228,unbiased_3_5b_leakage_na__5163,unbiased_module_3_1_mv__1199,unbiased_module_3_2_mv__1200,unbiased_module_3_3_mv__1201,unbiased_module_temp_3_1__1195,unbiased_module_temp_3_2__1196,unbiased_module_temp_3_3__1197,wetness_kohms__1219,wind_direction__1221,wind_speed__1220,system_id
2012-10-16 00:00:00,0.0,,,0.3382999999999999,-0.2480999999999999,0.0902,,,0.0,,16.824,,,,,,,,,,,,,,,,,,,,,,,,13.857,21.844,0.0066,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.492,20.354,12.94,,-3.0194,,,,,,,,,,,,,,,50
2012-10-16 00:01:00,0.0,,,0.3746999999999999,-0.229,0.1457,,,0.0,,16.797,,,,,,,,,,,,,,,,,,,,,,,,13.854,21.836,0.0067999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.494,20.343,12.908,,-3.0193,,,,,,,,,,,,,,,50
2012-10-16 00:02:00,0.0,0.0,0.0,0.4284999999999999,-0.0225999999999999,0.406,0.0,-0.2,0.0,,16.725,,,,,,,,,,,,,,,,,,,,,,,,13.858,21.832,0.0067999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.640023,14.80005,0.0,0.0,0.0,4.300049,15.40015,0.0,-99999.0,,,,,,,,,,,20.496,20.34,12.971,,-3.0194,,,,,,,,,,,,,,,50
2012-10-16 00:03:00,0.0,,,0.2706,-0.6765999999999999,-0.406,,,0.0,,16.705,,,,,,,,,,,,,,,,,,,,,,,,13.858,21.831,0.0067999999999999,0.0,0.0,-0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.417,20.272,13.072,,-3.0194,,,,,,,,,,,,,,,50
2012-10-16 00:04:00,0.0,,,0.4736,0.4284999999999999,0.9021,,,0.0,,16.789,,,,,,,,,,,,,,,,,,,,,,,,13.858,21.831,0.0061,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,35.162,,,,,,,,,,,20.331,20.179,13.212,,-2.969,,,,,,,,,,,,,,,50
2012-10-16 00:05:00,0.0,,,0.4736,-0.1579,0.3158,,,0.0,,17.067,,,,,,,,,,,,,,,,,,,,,,,,13.858,21.831,0.0061,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.246,20.061,13.352,,-2.7845,,,,,,,,,,,,,,,50
2012-10-16 00:06:00,0.0,,,0.4961999999999999,0.0225999999999999,0.5187,,,0.0,,17.285,,,,,,,,,,,,,,,,,,,,,,,,13.858,21.831,0.0064999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.169,19.999,13.405,,-2.6168,,,,,,,,,,,,,,,50
2012-10-16 00:07:00,0.0,,,0.3834,-0.1353,0.2480999999999999,,,0.0,,17.619,,,,,,,,,,,,,,,,,,,,,,,,13.858,21.826,0.0064999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.194,20.027,13.383,,-2.6168,,,,,,,,,,,,,,,50
2012-10-16 00:08:00,0.0,,,0.406,-0.1804,0.2255,,,0.0,,17.481,,,,,,,,,,,,,,,,,,,,,,,,13.858,21.819,0.0067999999999999,0.0,0.0,-0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.28,20.125,13.348,,-2.5329,,,,,,,,,,,,,,,50
2012-10-16 00:09:00,0.0,,,0.3834,0.6315,1.0149,,,0.0,,17.297,,,,,,,,,,,,,,,,,,,,,,,,13.858,21.818,0.0064999999999999,0.0,0.0,0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,29.586,,,,,,,,,,,20.369,20.217,13.278,,-2.6,,,,,,,,,,,,,,,50
2012-10-16 00:10:00,0.0,,,0.5413,0.2480999999999999,0.7893999999999999,,,0.0,,17.37,,,,,,,,,,,,,,,,,,,,,,,,13.858,21.818,0.0057999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.42,20.277,13.26,,-2.5329,,,,,,,,,,,,,,,50
2012-10-16 00:11:00,0.0,,,0.3156999999999999,-0.5864,-0.2706,,,0.0,,17.454,,,,,,,,,,,,,,,,,,,,,,,,13.858,21.818,0.0066,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.457,20.314,13.208,,-2.4323,,,,,,,,,,,,,,,50
2012-10-16 00:12:00,0.0,,,0.4961999999999999,0.0225999999999999,0.5187,,,0.0,,17.507,,,,,,,,,,,,,,,,,,,,,,,,13.858,21.809,0.0061,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.38,20.22,13.202,,-2.3988,,,,,,,,,,,,,,,50
2012-10-16 00:13:00,0.0,,,0.406,-0.2932,0.1128,,,0.0,,17.459,,,,,,,,,,,,,,,,,,,,,,,,13.858,21.805,0.0064999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.272,20.105,13.226,,-2.3149,,,,,,,,,,,,,,,50
2012-10-16 00:14:00,0.0,,,0.4284999999999999,-0.2255,0.203,,,0.0,,17.183,,,,,,,,,,,,,,,,,,,,,,,,13.858,21.805,0.0067999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.182,19.994,13.132,,-2.231,,,,,,,,,,,,,,,50
2012-10-16 00:15:00,0.0,,,0.3834,-0.2480999999999999,0.1353,,,0.0,,16.951,,,,,,,,,,,,,,,,,,,,,,,,13.858,21.798,0.0067999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.102,19.916,12.941,,-2.5665,,,,,,,,,,,,,,,50
2012-10-16 00:16:00,0.0,,,0.406,-0.5864,-0.1804,,,0.0,,16.835,,,,,,,,,,,,,,,,,,,,,,,,13.858,21.792,0.0063,0.0,0.0,-0.0041999999999999,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.031,19.844,12.729,,-2.751,,,,,,,,,,,,,,,50
2012-10-16 00:17:00,0.0,,,0.3158,-0.1804,0.1353,,,0.0,,16.743,,,,,,,,,,,,,,,,,,,,,,,,13.858,21.792,0.0066,0.0,0.0,-0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.967,19.777,12.629,,-2.9523,,,,,,,,,,,,,,,50
2012-10-16 00:18:00,0.0,,,0.5187,-0.0451,0.4736,,,0.0,,16.639,,,,,,,,,,,,,,,,,,,,,,,,13.858,21.782,0.0055999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.976,19.768,12.552,,-3.2039,,,,,,,,,,,,,,,50
2012-10-16 00:19:00,0.0,,,0.4511,0.0,0.4511,,,0.0,,16.703,,,,,,,,,,,,,,,,,,,,,,,,13.858,21.78,0.0063,0.0,0.0,0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.064,19.888,12.466,,-3.3045,,,,,,,,,,,,,,,50
2012-10-16 00:20:00,0.0,,,0.3834,-0.1804,0.203,,,0.0,,16.563,,,,,,,,,,,,,,,,,,,,,,,,13.858,21.773,0.0066,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.186,20.082,12.402,,-3.2039,,,,,,,,,,,,,,,50
2012-10-16 00:21:00,0.0,,,0.406,-0.3158,0.0902,,,0.0,,16.493,,,,,,,,,,,,,,,,,,,,,,,,13.857,21.767,0.0064999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.287,20.197,12.436,,-3.4219,,,,,,,,,,,,,,,50
2012-10-16 00:22:00,0.0,,,0.4284999999999999,-0.0451,0.3834,,,0.0,,16.813,,,,,,,,,,,,,,,,,,,,,,,,13.859,21.767,0.0066,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.398,20.297,12.513,,-3.2207,,,,,,,,,,,,,,,50
2012-10-16 00:23:00,0.0,,,0.3834,-0.2707,0.1128,,,0.0,,16.952,,,,,,,,,,,,,,,,,,,,,,,,13.859,21.763,0.0064999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.43,20.307,12.41,,-3.0026,,,,,,,,,,,,,,,50
2012-10-16 00:24:00,0.0,,,0.4736,-0.203,0.2706,,,0.0,,16.831,,,,,,,,,,,,,,,,,,,,,,,,13.859,21.754,0.0066,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.334,20.193,12.222,,-2.9859,,,,,,,,,,,,,,,50
2012-10-16 00:25:00,0.0,,,0.406,-0.203,0.203,,,0.0,,16.614,,,,,,,,,,,,,,,,,,,,,,,,13.86,21.754,0.0063,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.244,20.089,12.114,,-2.9859,,,,,,,,,,,,,,,50
2012-10-16 00:26:00,0.0,,,0.3834,-0.1353,0.2480999999999999,,,0.0,,16.307,,,,,,,,,,,,,,,,,,,,,,,,13.86,21.752,0.0064999999999999,0.0,0.0,-0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.158,19.965,11.869,,-3.0026,,,,,,,,,,,,,,,50
2012-10-16 00:27:00,0.0,,,0.4284999999999999,0.0,0.4284999999999999,,,0.0,,15.995,,,,,,,,,,,,,,,,,,,,,,,,13.86,21.741,0.0061999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.003,19.792,11.612,,-3.1201,,,,,,,,,,,,,,,50
2012-10-16 00:28:00,0.0,,,0.5187,-0.0225999999999999,0.4961999999999999,,,0.0,,15.741,,,,,,,,,,,,,,,,,,,,,,,,13.86,21.741,0.0061,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.904,19.65,11.405,,-3.422,,,,,,,,,,,,,,,50
2012-10-16 00:29:00,0.0,,,0.4284999999999999,-0.2707,0.1579,,,0.0,,15.538,,,,,,,,,,,,,,,,,,,,,,,,13.858,21.74,0.0064999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.828,19.545,11.189,,-3.4555,,,,,,,,,,,,,,,50
2012-10-16 00:30:00,0.0,,,0.4511,0.1353,0.5864,,,0.0,,15.259,,,,,,,,,,,,,,,,,,,,,,,,13.86,21.728,0.0064999999999999,0.0,0.0,0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.86,19.561,10.99,,-3.7071,,,,,,,,,,,,,,,50
2012-10-16 00:31:00,0.0,,,0.4511,-0.3158,0.1353,,,0.0,,15.139,,,,,,,,,,,,,,,,,,,,,,,,13.86,21.728,0.0061,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.972,19.703,10.842,,-3.8246,,,,,,,,,,,,,,,50
2012-10-16 00:32:00,0.0,,,0.406,0.0,0.406,,,0.0,,14.988,,,,,,,,,,,,,,,,,,,,,,,,13.86,21.716,0.0061999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.099,19.841,10.721,,-3.8246,,,,,,,,,,,,,,,50
2012-10-16 00:33:00,0.0,,,0.4511,0.0225999999999999,0.4736,,,0.0,,14.888,,,,,,,,,,,,,,,,,,,,,,,,13.861,21.715,0.0064999999999999,0.0,0.0,0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.212,19.973,10.611,,-3.791,,,,,,,,,,,,,,,50
2012-10-16 00:34:00,0.0,,,0.406,-0.0902,0.3158,,,0.0,,14.789,,,,,,,,,,,,,,,,,,,,,,,,13.861,21.715,0.0066,0.0,0.0,-0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.26,19.988,10.479,,-3.4555,,,,,,,,,,,,,,,50
2012-10-16 00:35:00,0.0,,,0.406,-0.3382999999999999,0.0676999999999999,,,0.0,,14.685,,,,,,,,,,,,,,,,,,,,,,,,13.86,21.705,0.0063,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.169,19.855,10.356,,-3.4387,,,,,,,,,,,,,,,50
2012-10-16 00:36:00,0.0,,,0.4736,-0.203,0.2707,,,0.0,,14.605,,,,,,,,,,,,,,,,,,,,,,,,13.861,21.701,0.0064999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.035,19.74,10.296,,-3.422,,,,,,,,,,,,,,,50
2012-10-16 00:37:00,0.0,,,0.2932,-0.5188,-0.2255999999999999,,,0.0,,14.566,,,,,,,,,,,,,,,,,,,,,,,,13.861,21.691,0.0067999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.903,19.579,10.241,,-3.422,,,,,,,,,,,,,,,50
2012-10-16 00:38:00,0.0,,,0.4511,-0.3158,0.1353,,,0.0,,14.501,,,,,,,,,,,,,,,,,,,,,,,,13.861,21.689,0.0067999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.789,19.456,10.114,,-3.422,,,,,,,,,,,,,,,50
2012-10-16 00:39:00,0.0,,,0.406,-0.1353,0.2707,,,0.0,,14.361,,,,,,,,,,,,,,,,,,,,,,,,13.861,21.682,0.0057999999999999,0.0,0.0,-0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.691,19.354,10.013,,-3.422,,,,,,,,,,,,,,,50
2012-10-16 00:40:00,0.0,,,0.3609,-0.3382999999999999,0.0225999999999999,,,0.0,,14.23,,,,,,,,,,,,,,,,,,,,,,,,13.861,21.677,0.0066,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.721,19.395,9.9256,,-3.422,,,,,,,,,,,,,,,50
2012-10-16 00:41:00,0.0,,,0.4736,-0.406,0.0676999999999999,,,0.0,,14.155,,,,,,,,,,,,,,,,,,,,,,,,13.861,21.666,0.0061,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.837,19.534,9.8401,,-3.422,,,,,,,,,,,,,,,50
2012-10-16 00:42:00,0.0,,,0.4284999999999999,-0.0902,0.3382999999999999,,,0.0,,14.178,,,,,,,,,,,,,,,,,,,,,,,,13.861,21.663,0.0061,0.0,0.0,-0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.96,19.685,9.901,,-3.4219,,,,,,,,,,,,,,,50
2012-10-16 00:43:00,0.0,,,0.3834,-0.0225999999999999,0.3609,,,0.0,,14.319,,,,,,,,,,,,,,,,,,,,,,,,13.861,21.651,0.0064999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.091,19.813,10.079,,-3.2039,,,,,,,,,,,,,,,50
2012-10-16 00:44:00,0.0,,,0.4284999999999999,-0.0225999999999999,0.406,,,0.0,,14.399,,,,,,,,,,,,,,,,,,,,,,,,13.861,21.648,0.0064999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.153,19.868,10.109,,-2.8517,,,,,,,,,,,,,,,50
2012-10-16 00:45:00,0.0,,,0.4511,-0.2707,0.1804,,,0.0,,14.27,,,,,,,,,,,,,,,,,,,,,,,,13.861,21.639,0.0057999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,20.079,19.804,10.041,,-2.6336,,,,,,,,,,,,,,,50
2012-10-16 00:46:00,0.0,,,0.3609,0.0676999999999999,0.4284999999999999,,,0.0,,14.115,,,,,,,,,,,,,,,,,,,,,,,,13.862,21.635,0.0066,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.971,19.675,10.016,,-2.6336,,,,,,,,,,,,,,,50
2012-10-16 00:47:00,0.0,,,0.3382999999999999,-0.5413,-0.203,,,0.0,,14.223,,,,,,,,,,,,,,,,,,,,,,,,13.862,21.625,0.0067999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.857,19.535,9.9837,,-2.6336,,,,,,,,,,,,,,,50
2012-10-16 00:48:00,0.0,,,0.3382999999999999,-0.1579,0.1804,,,0.0,,14.376,,,,,,,,,,,,,,,,,,,,,,,,13.863,21.617,0.0067999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.736,19.444,9.913,,-2.6336,,,,,,,,,,,,,,,50
2012-10-16 00:49:00,0.0,,,0.3834,0.2480999999999999,0.6315,,,0.0,,14.316,,,,,,,,,,,,,,,,,,,,,,,,13.863,21.612,0.0067999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.714,19.406,9.8209,,-2.6168,,,,,,,,,,,,,,,50
2012-10-16 00:50:00,0.0,,,0.2707,-0.6315,-0.3609,,,0.0,,14.185,,,,,,,,,,,,,,,,,,,,,,,,13.862,21.602,0.0067999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.761,19.472,9.8059,,-2.6168,,,,,,,,,,,,,,,50
2012-10-16 00:51:00,0.0,,,0.406,-0.4511,-0.0451,,,0.0,,14.11,,,,,,,,,,,,,,,,,,,,,,,,13.863,21.595,0.0064999999999999,0.0,0.0,-0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.845,19.56,9.8985,,-2.6168,,,,,,,,,,,,,,,50
2012-10-16 00:52:00,0.0,,,0.3382999999999999,-0.406,-0.0676999999999999,,,0.0,,14.091,,,,,,,,,,,,,,,,,,,,,,,,13.862,21.588,0.0066,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.907,19.636,9.9415,,-2.6168,,,,,,,,,,,,,,,50
2012-10-16 00:53:00,0.0,,,0.4284999999999999,-0.2932,0.1353,,,0.0,,14.182,,,,,,,,,,,,,,,,,,,,,,,,13.864,21.575,0.0063,0.0,0.0,-0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.947,19.693,9.9281,,-2.6001,,,,,,,,,,,,,,,50
2012-10-16 00:54:00,0.0,,,0.3382999999999999,-0.2932,0.0451,,,0.0,,14.183,,,,,,,,,,,,,,,,,,,,,,,,13.864,21.567,0.0067999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.954,19.703,9.9267,,-2.6001,,,,,,,,,,,,,,,50
2012-10-16 00:55:00,0.0,,,0.5638999999999998,-0.1128,0.4511,,,0.0,,14.114,,,,,,,,,,,,,,,,,,,,,,,,13.864,21.563,0.0061999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.859,19.613,9.8368,,-2.5498,,,,,,,,,,,,,,,50
2012-10-16 00:56:00,0.0,,,0.5413,0.2480999999999999,0.7893999999999999,,,0.0,,14.067,,,,,,,,,,,,,,,,,,,,,,,,13.864,21.55,0.0055999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.734,19.485,9.8038,,-2.5498,,,,,,,,,,,,,,,50
2012-10-16 00:57:00,0.0,,,0.3609,-0.2480999999999999,0.1128,,,0.0,,14.063,,,,,,,,,,,,,,,,,,,,,,,,13.864,21.549,0.0066,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.629,19.379,9.771,,-2.5497,,,,,,,,,,,,,,,50
2012-10-16 00:58:00,0.0,,,0.3382999999999999,-0.1579,0.1804,,,0.0,,14.07,,,,,,,,,,,,,,,,,,,,,,,,13.865,21.538,0.0067999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.608,19.362,9.6655,,-2.5833,,,,,,,,,,,,,,,50
2012-10-16 00:59:00,0.0,,,0.3382999999999999,-0.1579,0.1804,,,0.0,,13.993,,,,,,,,,,,,,,,,,,,,,,,,13.866,21.528,0.0064999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.664,19.412,9.5347,,-2.6336,,,,,,,,,,,,,,,50
2012-10-16 01:00:00,0.0,,,0.3158,-0.3609,-0.0451,,,0.0,,13.805,,,,,,,,,,,,,,,,,,,,,,,,13.865,21.519,0.0067999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.759,19.504,9.4747,,-2.8517,,,,,,,,,,,,,,,50
2012-10-16 01:01:00,0.0,,,0.3609,0.0,0.3609,,,0.0,,13.671,,,,,,,,,,,,,,,,,,,,,,,,13.866,21.516,0.0067999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.795,19.565,9.3868,,-3.0195,,,,,,,,,,,,,,,50
2012-10-16 01:02:00,0.0,,,0.406,0.1128,0.5188,,,0.0,,13.654,,,,,,,,,,,,,,,,,,,,,,,,13.867,21.503,0.0064999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.835,19.626,9.3235,,-3.0195,,,,,,,,,,,,,,,50
2012-10-16 01:03:00,0.0,,,0.3382999999999999,-0.4284999999999999,-0.0902,,,0.0,,13.704,,,,,,,,,,,,,,,,,,,,,,,,13.866,21.493,0.0067999999999999,0.0,0.0,-0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.82,19.552,9.2776,,-3.0027,,,,,,,,,,,,,,,50
2012-10-16 01:04:00,0.0,,,0.406,0.0451,0.4511,,,0.0,,13.872,,,,,,,,,,,,,,,,,,,,,,,,13.867,21.483,0.0066,0.0,0.0,-0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.718,19.416,9.2578,,-2.8685,,,,,,,,,,,,,,,50
2012-10-16 01:05:00,0.0,,,0.3834,-0.1353,0.2480999999999999,,,0.0,,13.898,,,,,,,,,,,,,,,,,,,,,,,,13.867,21.476,0.0064999999999999,0.0,0.0,0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.667,19.34,9.1755,,-2.6337,,,,,,,,,,,,,,,50
2012-10-16 01:06:00,0.0,,,0.4961999999999999,0.2255999999999999,0.7218,,,0.0,,13.865,,,,,,,,,,,,,,,,,,,,,,,,13.866,21.467,0.0063,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.635,19.322,9.101,,-2.8015,,,,,,,,,,,,,,,50
2012-10-16 01:07:00,0.0,,,0.406,-0.406,0.0,,,0.0,,13.839,,,,,,,,,,,,,,,,,,,,,,,,13.867,21.456,0.0067999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.675,19.392,9.0284,,-2.6505,,,,,,,,,,,,,,,50
2012-10-16 01:08:00,0.0,,,0.3834,-0.1128,0.2707,,,0.0,,13.784,,,,,,,,,,,,,,,,,,,,,,,,13.867,21.447,0.0067999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.757,19.51,8.911699999999998,,-2.6169,,,,,,,,,,,,,,,50
2012-10-16 01:09:00,0.0,,,0.3609,-0.1128,0.2480999999999999,,,0.0,,13.701,,,,,,,,,,,,,,,,,,,,,,,,13.867,21.439,0.0067999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,-99999.0,,,,,,,,,,,19.791,19.591,8.8595,,-2.5834,,,,,,,,,,,,,,,50
